full_title,short_title,main_author,library_name,library_city,culinary_focus,edition_year,edition_number,publication_cities,publication_countries,contributors,publishers,edition_category,short_note,language,translated_from,format,pages,has_illustrations,dimensions,price
"ESSAYS, MORAL, PHILOSOPHICAL, AND STOMACHICAL, on the important Science of Good-Living.",Essays on Good-Living,Launcelot Sturgeon,,,,1822.0,1.0,,,Launcelot Sturgeon (Author); G. and W. B. Whittaker (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE FAMILY CYCLOPÆDIA; a Manual of useful and necessary knowledge in Domestic Economy, Agriculture, Chemistry, and the Arts; including the most approved modes of treatment of diseases, accidents, and casualties.",The Family Cyclopaedia,James Jennings,,,,1822.0,1.0,,,"James Jennings (Author); Sherwood, Gilbert, and Piper (Publisher)",,Compilation,,English,Unknown,Unknown,1374.0,True,,
"Five Thousand Receipts In all the Useful and Domestic Arts, constituting a Complete and Universal Practical Library, and Operative Cyclopædia.",Five Thousand Receipts,Colin Mackenzie,,,,1823.0,1.0,,,Colin Mackenzie (Author); Sir Richard Phillips and Co. (Publisher),,Original,,English,Unknown,Unknown,,,,10.5 s.
"The Cook and Housekeeper's Complete and Universal Dictionary Including A System of Modern Cookery, in all its various Branches, adapted to the use of Private Families: Also a Variety of original and valuable Information, relative to Baking, Brewing, Carving, Cleaning, Collaring, Curing, Economy of Bees, Economy of a Dairy, Economy of Poultry, Family medicine, Gardening, Home-made Wines, Pickling, Potting, Preserving, Rules of Health and every other Subject connected with Domestic Economy.",The Cook and Housekeeper's Complete and Universal Dictionary,Mrs. Mary Eaton,,,,1823.0,1.0,,,Mrs. Mary Eaton (Author); J. and R. Childs (Publisher),,Original,,English,Unknown,Unknown,,True,,
Unknown (title not given in excerpt),"Unknown work (Mrs. Griffith, 1775)",Mrs. Griffith,,,,1775.0,,,,Mrs. Griffith (Author); J. Walter (Printer),,Unknown,,English,Unknown,Unknown,,,,
VALUABLE SECRETS CONCERNING ARTS AND TRADES: or approved Directions from the best Artists... Hic tibi erunt Artes! Virg.,Valuable Secrets Concerning Arts and Trades,Anonymous,,,,1775.0,,,,Anonymous (Author); Will. Hay (Printer),,Original,,English,Unknown,Unknown,,,,
"THE YOUNG LADIES' GUIDE in the Art of Cookery: being a Collection of useful Receipts, published for the Convenience of the Ladies committed to her Care. By Eliz. Marshall.",The Young Ladies' Guide,Eliz. Marshall,,,,1777.0,,,,Eliz. Marshall (Author); T. Saint (Printer),,Original,,English,Unknown,Unknown,,,,
"A FORME OF CURY, a Roll of Ancient English Cookery, compiled, about A.D. 1390, by the Master-Cooks of King Richard II, presented afterwards to Queen Elizabeth, by Edward Lord Stafford, and now in the Possession of Gustavus Brander, Esq. Illustrated with Notes, and a copious Index, or Glossary. ENGLISH COOKERY BOOKS. A Manuscript of the Editor, of the same Age and Subject, is subjoined. By an Antiquary.",A Forme of Cury,An Antiquary,,,,1780.0,,,,An Antiquary (Author); Samuel Pegge (Editor); J. Nicholls (Printer),,Critical Edition,,English,Unknown,Unknown,,,,
"THE NEW BOOK OF COOKERY or every Woman a perfect Cook; containing the greatest Variety of approved Receipts ... By Mrs. Eliz. Price, of Berkeley Square, assisted by others.",The New Book of Cookery (Eliz. Price),Mrs. Eliz. Price,,,,1780.0,,,,Mrs. Eliz. Price (Author); Alex. Hogg (Publisher),,Enlarged Edition,,English,Unknown,Unknown,,,,1.0 s.
"THE NEW, UNIVERSAL, AND COMPLETE CONFECTIONER; or the whole art of confectionary made perfectly plain and easy. By Mrs. Elizabeth Price, of Berkeley Square, Author of The New Book of Cookery. Embellished with an Elegant Frontispiece.","The New, Universal, and Complete Confectioner",Mrs. Elizabeth Price,,,,1780.0,,,,Mrs. Elizabeth Price (Author); Alex. Hogg (Publisher); S. Couchman (Printer),,Original,,English,Unknown,Unknown,94.0,True,,1.5 s.
"THE NEW AND COMPLETE UNIVERSAL COOK or, Young Woman’s Best Guide, in the whole Art of Cookery. By Mrs. Ann Partridge, of Great George-Street, Westminster.",The New and Complete Universal Cook,Mrs. Ann Partridge,,,,1780.0,,,,Mrs. Ann Partridge (Author); Alex. Hogg (Publisher),,Original,,English,Unknown,Unknown,70.0,True,,0.5 s.
"THE FARMER’S WIFE or, Complete Country Housewife.",The Farmer's Wife,Anonymous,,,,1780.0,,,,Anonymous (Author); Alex. Hogg (Publisher),,Original,,English,Unknown,Unknown,132.0,True,,1.5 s.
THE ACCOMPLISHED LADY'S DELIGHT IN COOKERY; or The Complete Servant's-Maid's Guide.,The Accomplished Lady's Delight in Cookery,Anonymous,,,,1780.0,,,,Anonymous (Author); J. Smart (Printer),,Original,,English,Unknown,Unknown,24.0,True,,
"THE BRITISH JEWEL, or, Complete Housewife's Best Companion.",The British Jewel,Anonymous,,,,1780.0,,,,Anonymous (Author); J. Miller (Printer),,Original,,English,Unknown,Unknown,104.0,True,,1.0 s.
"THE PRACTICE OF MODERN COOKERY Adapted to Families of Distinction, as well as to those of the Middling Ranks of Life. To which is added a Glossary explaining the Terms of Art. By George Dalrymple, late Cook to Sir John Whitefoord, Bart.",The Practice of Modern Cookery,George Dalrymple,,,,1781.0,,,,George Dalrymple (Author); C. Elliot (Publisher); T. Longman (Publisher),,Original,,English,Unknown,Unknown,475.0,,,
"THE LONDON ART OF COOKERY, and Housekeeper’s Complete Assistant, on a new plan, made Plain and Easy to the Understanding of every Housekeeper, Cook, and Servant in the Kingdom. By John Farley, principal cook at the London Tavern.",The London Art of Cookery,John Farley,,,,1783.0,1.0,,,John Farley (Author); John Fielding (Publisher); J. Scatcherd (Publisher); J. Whitaker (Publisher),,Original,,English,Unknown,Unknown,,True,,6.0 s.
THE HOUSE-KEEPER'S POCKET BOOK and Compleat Family Cook.,The House-Keeper's Pocket Book,Anonymous,,,,1783.0,,,,Anonymous (Author); Thomas Martin (Printer),,Original,,English,Unknown,Unknown,168.0,True,,
"THE ENGLISH ART OF COOKERY according to the Present Practice; being a Complete Guide to all Housekeepers, on a plan entirely new. By Richard Briggs.",The English Art of Cookery,Richard Briggs,,,,1794.0,3.0,,,Richard Briggs (Author); G. G. and J. Robinson (Publisher),,Reprint,,English,Unknown,Unknown,,True,,
"The Honours of the Table Or, Rules for behaviour during meals; with the whole Art of Carving. By J. Trusler.",The Honours of the Table,J. Trusler,,,,1788.0,1.0,,,J. Trusler (Author),,Original,,English,Unknown,Unknown,,,,
"THE COMPLETE CONFECTIONER; or, the Whole Art of Confectionary: forming a Ready Assistant to all Genteel Families. By Frederick Nutt.",The Complete Confectioner,Frederick Nutt,,,,1789.0,1.0,,,Frederick Nutt (Author); J. Matthews (Publisher),,Original,,English,Unknown,Unknown,,True,,10.5 s.
"THE LADY'S COMPLETE GUIDE; or Cookery and Confectionary in all their Branches. By Mrs. Mary Cole, cook to the Right Hon. the Earl of Drogheda.",The Lady's Complete Guide,Mrs. Mary Cole,,,,1789.0,1.0,,,Mrs. Mary Cole (Author); G. Kearsley (Publisher),,Original,,English,Unknown,Unknown,564.0,,,6.0 s.
"THE LADIES' LIBRARY: or, Encyclopædia of Female Knowledge, in every Branch of Domestic Economy: comprehending, in alphabetical arrangement, Distinct Treatises on every Practical Subject, necessary for Servants and Mistresses of Families. In Two Volumes.",The Ladies' Library,Anonymous,,,,1790.0,,,,Anonymous (Author); J. Ridgway (Publisher),,Original,,English,Unknown,Unknown,,True,,
"A COLLECTION OF ORDINANCES AND REGULATIONS for the Government of the Royal Household, made in divers reigns, from King Edward III. to King William and Queen Mary. Also Receipts in Ancient Cookery.",A Collection of Ordinances and Regulations for the Royal Household,Society of Antiquaries,,,,1790.0,,,,Society of Antiquaries (Sponsor); John Nichols (Printer),,Original,,English,Unknown,Quarto,466.0,,,
"THE PRACTICE OF COOKERY, PASTRY, PICKLING, PRESERVING, &c. By Mrs. Frazer, Sole Teacher of these Arts in Edinburgh.",The Practice of Cookery (Mrs. Frazer),Mrs. Frazer,,,,1791.0,1.0,,,Mrs. Frazer (Author); Peter Hill (Publisher); T. Cadell (Publisher),,Original,,English,Unknown,Unknown,,True,,
"ANTIQUITATES CULINARIÆ; or Curious Tracts relating to the Culinary affairs of the Old English, with a preliminary discourse, Notes, and Illustrations. By the Reverend Richard Warner.",Antiquitates Culinariae,Richard Warner,,,,1791.0,,,,Richard Warner (Author); R. Blamire (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE UNIVERSAL COOK, and City and Country Housekeeper. By Francis Collingwood, and John Woollams, Principal Cooks at the Crown and Anchor Tavern in the Strand.",The Universal Cook,Francis Collingwood and John Woollams,,,,1792.0,1.0,,,Francis Collingwood (Author); John Woollams (Author); R. Noble (Printer); J. Scatcherd (Publisher); J. Whitaker (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE FRENCH FAMILY COOK: Being a complete System of French Cookery. Adapted to the Tables not only of the Opulent, but of Persons of moderate Fortune and Condition. Translated from the French.",The French Family Cook,Anonymous,,,,1793.0,1.0,,,Anonymous (Translator); J. Bell (Publisher),,Translation,,English,French,Unknown,342.0,,,
"DOMESTIC ECONOMY: or, A Complete System of English Housekeeping. By Maximilian Hazlemore.",Domestic Economy (Hazlemore),Maximilian Hazlemore,,,,1794.0,,,,Maximilian Hazlemore (Author); J. Creswick and Co. (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE FRUGAL HOUSEWIFE, or, Complete Woman Cook. By Susannah Carter, of Clerkenwell.",The Frugal Housewife,Susannah Carter,,,,1795.0,,,,Susannah Carter (Author); E. Newbery (Publisher),,Revised Edition,,English,Unknown,Unknown,192.0,,,
"THE NEW EXPERIENCED ENGLISH-HOUSEKEEPER For the Use and Ease of Ladies, Housekeepers, Cooks, &c. By Mrs. Sarah Martin.",The New Experienced English-Housekeeper,Mrs. Sarah Martin,,,,1795.0,1.0,,,Mrs. Sarah Martin (Author); D. Boys (Printer); F. & C. Rivington (Publisher),,Original,,English,Unknown,Octavo,173.0,,,
"THE ACCOMPLISHED HOUSEKEEPER, AND UNIVERSAL COOK. By T. Williams, and the Principal Cooks at the London and Crown and Anchor Taverns.",The Accomplished Housekeeper and Universal Cook,T. Williams,,,,1797.0,,,,T. Williams (Author); J. Scatcherd (Publisher),,Abridged Edition,,English,Unknown,Unknown,,,,3.0 s.
THE LONDON COMPLETE ART OF COOKERY.,The London Complete Art of Cookery (1797),Anonymous,,,,1797.0,,,,Anonymous (Author); William Lane (Publisher),,Plagiarism,,English,Unknown,Unknown,232.0,True,,
"THE ACCOMPLISHED FAMILY COOK. By A. Glasse, Twenty Years Cook to several Families of Distinction.",The Accomplished Family Cook (A. Glasse),A. Glasse,,,,1797.0,,,,A. Glasse (Author); J. Bell (Publisher); Simmonds (Publisher),,Other,,English,Unknown,Unknown,,,,
AN ECONOMICAL AND NEW METHOD OF COOKERY. By Eliza Melroe.,An Economical and New Method of Cookery,Eliza Melroe,,,,1798.0,,,,Eliza Melroe (Author); C. Chapple (Printer); T. N. Longman (Publisher),,Original,,English,Unknown,Unknown,94.0,,,2.5 s.
"THE HOUSEKEEPER'S VALUABLE PRESENT or, Lady's Closet Companion, being a New and Complete Art of Preparing Conficts, according to Modern Practice. By Robert Abbot.",The Housekeeper's Valuable Present,Robert Abbot,,,,1800.0,,,,Robert Abbot (Author); C. Cooke (Publisher),,Original,,English,Unknown,Unknown,100.0,,,2.0 s.
"THE COOK & CONFECTIONER'S GUIDE or Female's Instructor, in Cookery, Confectionary, Making Wines, Preserving, Pickles, &c. By W. Carter.",The Cook & Confectioner's Guide,W. Carter,,,,1800.0,,,,W. Carter (Author); Bailey and Co. (Publisher),,Original,,English,Unknown,Unknown,32.0,,,0.5 s.
"THE COMPLETE BRITISH COOK Being a Collection of the most valuable and useful Receipts. By Mary Holland, Professed Cook.",The Complete British Cook,Mary Holland,,,,1800.0,,,,Mary Holland (Author); J. D. Bewick (Printer); West and Hughes (Publisher),,Original,,English,Unknown,Unknown,104.0,True,,
"THE LADIES BEST COMPANION Or, A Golden Treasury for the Fair Sex. By Mrs. Amelia Chambers.",The Ladies Best Companion,Mrs. Amelia Chambers,,,,1800.0,,,,Mrs. Amelia Chambers (Author); J. Cooke (Publisher),,Original,,English,Unknown,Unknown,196.0,True,,2.0 s.
"DOMESTIC MANAGEMENT, or The Art of Conducting a Family; with Instructions to Servants in general. Addressed to Young Housekeepers.",Domestic Management,Anonymous,,,,1800.0,,,,Anonymous (Author); H. D. Symonds (Publisher),,Original,,English,Unknown,Unknown,108.0,,,
"THE NEW LONDON FAMILY COOK: or, Town and Country Housekeeper's Guide. By Duncan Macdonald, late Head Cook at the Bedford Tavern and Hotel, Covent Garden: and Assistants.",The New London Family Cook,Duncan Macdonald,,,,1800.0,,,,Duncan Macdonald (Author); J. Robins and Co. (Publisher),,Original,,English,Unknown,Unknown,630.0,True,,
"THE GUIDE TO PREFERMENT: or, Powell's Complete Book of Cookery.",The Guide to Preferment (Powell's Complete Book of Cookery),Anonymous,,,,1800.0,,,,Anonymous (Author),,Original,,English,Unknown,Unknown,,,,
"Also how to Feed and Fatten Fowl in a short time, with other things necessary to be known. Very useful for Gentlemen and others, that they may not be Deceived.",Feed and Fatten Fowl,Adam Shewring,,,,1677.0,,,,Adam Shewring (Author); C. Brome (Printer),,Original,,English,Unknown,Unknown,,,,
"THE COMPLEAT SERVANT-MAID; or the Young Maidens Tutor. Directing them how they may fit, and qualifie themselves for any of these Employments, viz.,- Waiting-Woman- House-keeper- Chamber-Maid- Cook-Maid- Under Cook-Maid (Nursery-Maid, Dairy-Maid, Laundry-Maid, House-Maid, Scullery-Maid.) Composed for the great benefit and advantage of all young Maidens.",The Compleat Servant-Maid,Anonymous,,,,1677.0,,,,Anonymous (Author),,Original,,English,Unknown,Unknown,,,,
ENGLISH COOKERY BOOKS,English Cookery Books (1677),Anonymous,,,,1677.0,1.0,,,Anonymous (Author); T. Passinger (Publisher),,Original,,English,Unknown,Unknown,,True,,
ENGLISH COOKERY BOOKS,English Cookery Books (1677),Anonymous,,,,1691.0,5.0,,,Anonymous (Author),,Reprint,,English,Unknown,Unknown,,True,,
ENGLISH COOKERY BOOKS,English Cookery Books (1677),Anonymous,,,,1711.0,8.0,,,Anonymous (Author),,Reprint,,English,Unknown,Unknown,,False,,
ENGLISH COOKERY BOOKS,English Cookery Books (1677),Anonymous,,,,1729.0,9.0,,,Anonymous (Author),,Reprint,,English,Unknown,Unknown,,,,
"RARE AND EXCELLENT RECEIPTS. Experienced and Taught by Mrs. Mary Tillinghast, and now Printed for the Use of her Scholars only.",Rare and Excellent Receipts,Mary Tillinghast,,,,1678.0,1.0,,,Mary Tillinghast (Author),,Original,,English,Unknown,Unknown,30.0,,,
"RARE AND EXCELLENT RECEIPTS. Experienced and Taught by Mrs. Mary Tillinghast, and now Printed for the Use of her Scholars only.",Rare and Excellent Receipts,Mary Tillinghast,,,,1690.0,2.0,,,Mary Tillinghast (Author),,Reprint,,English,Unknown,Unknown,30.0,,,
"THE TRUE WAY OF PRESERVING AND CANDYING And Making Several Sorts of Sweet-meats, According to the Best and Truest Manner. Made Publick for the Benefit of all English Ladies and Gentlewomen; especially for my Scholars.",The True Way of Preserving and Candying,Anonymous,,,,1681.0,1.0,,,Anonymous (Author),,Original,,English,Unknown,Unknown,,,,
"THE TRUE WAY OF PRESERVING AND CANDYING And Making Several Sorts of Sweet-meats, According to the Best and Truest Manner. Made Publick for the Benefit of all English Ladies and Gentlewomen; especially for my Scholars.",The True Way of Preserving and Candying,Anonymous,,,,1695.0,,,,Anonymous (Author),,Reprint,,English,Unknown,Unknown,,,,
"A NEW DIGESTER or Engine for softening Bones, containing the Description of its Make and Use in these Particulars, viz., Cookery, Voyages at Sea, Confectionary, Making of Drinks, Chymistry, and Dying. With an Account of the Price a good big Engine will cost, and of the Profit it will afford. By Denys Papin, M.D., Fellow of the Royal Society.",A New Digester (Denis Papin),Denys Papin,,,,1681.0,1.0,,,Denys Papin (Author); J. M. (Printer); Henry Bonwicke (Publisher),,Original,,English,Unknown,Unknown,,,,
"A CONTINUATION OF THE NEW DIGESTER OF BONES Its improvements and new uses it hath been applyed to, both for Sea and Land. Together with some Improvements and new Uses of the Air-Pump, tryed both in England and in Italy. By Denis Papin, M.D., Fellow of the Royal Society.",Continuation of the New Digester of Bones,Denis Papin,,,,1687.0,,,,Denis Papin (Author); Joseph Streater (Printer),,Original,,English,Unknown,Unknown,,,,
"THE TRUE PRESERVER AND RESTORER OF HEALTH Being a Choice Collection of Select and Experienced Remedies for all Distempers incident to Men, Women, and Children. Selected from, and Experienced by the most Famous Physicians and Chyrurgeons of Europe. Together with Excellent Directions for Cookery; as also for Preserving, and Conserving, and making all sorts of Metheglin, Sider, Cherry-Wine, &c. With the Description of an Ingenious and Useful Engin for Dressing of Meat, and for Distilling the Choicest Cordial Waters without Wood, Coals, Candle, or Oyl. Published for the Publick-good by G. Hartman, Chymist.",The True Preserver and Restorer of Health,G. Hartman,,,,1682.0,1.0,,,G. Hartman (Author); T. B. (Printer),,Original,,English,Unknown,Unknown,,True,,
"THE TRUE PRESERVER AND RESTORER OF HEALTH Being a Choice Collection of Select and Experienced Remedies for all Distempers incident to Men, Women, and Children. Selected from, and Experienced by the most Famous Physicians and Chyrurgeons of Europe. Together with Excellent Directions for Cookery; as also for Preserving, and Conserving, and making all sorts of Metheglin, Sider, Cherry-Wine, &c. With the Description of an Ingenious and Useful Engin for Dressing of Meat, and for Distilling the Choicest Cordial Waters without Wood, Coals, Candle, or Oyl. Published for the Publick-good by G. Hartman, Chymist.",The True Preserver and Restorer of Health,G. Hartman,,,,1684.0,2.0,,,G. Hartman (Author),,Reprint,,English,Unknown,Unknown,,,,
"A PERFECT SCHOOL OF INSTRUCTIONS FOR THE OFFICERS OF THE MOUTH: Shewing the whole Art of- A Master of the Household- A Master Carver- A Master Butler- A Master Confectioner- A Master Cook- A Master Pastryman Being a Work of singular Use for Ladies and Gentlewomen, and all Persons whatsoever that are desirous to be acquainted with the most Excellent Arts of Carving, Cookery, Pastry, Preserving, and Laying a Cloth for Grand Entertainments. Adorned with Pictures curiously Ingraven, displaying the whole Arts. By Giles Rose, one of the Master Cooks in His Majesties Kitchen.",A Perfect School of Instructions for the Officers of the Mouth,Giles Rose,,,,1682.0,1.0,,,Giles Rose (Author); R. Bentley (Publisher); M. Magnes (Publisher),,Translation,,English,French,Unknown,,True,,
Healths Grand Preservative.,Healths Grand Preservative,Thomas Tryon,,,,1682.0,,,,Thomas Tryon (Author),,Original,,English,Unknown,Unknown,,,,
A Treatise of Cleanness in Meats and Drinks.,A Treatise of Cleanness in Meats and Drinks,Thomas Tryon,,,,1682.0,,,,Thomas Tryon (Author),,Original,,English,Unknown,Unknown,,,,
"The Way to Health, Long Life and Happiness.","The Way to Health, Long Life and Happiness",Thomas Tryon,,,,1683.0,1.0,,,Thomas Tryon (Author),,Original,,English,Unknown,Unknown,,,,
"The Way to Health, Long Life and Happiness.","The Way to Health, Long Life and Happiness",Thomas Tryon,,,,1691.0,2.0,,,Thomas Tryon (Author),,Reprint,,English,Unknown,Unknown,,,,
The Way to Make All People Rich.,The Way to Make All People Rich,Thomas Tryon,,,,1685.0,,,,Thomas Tryon (Author),,Original,,English,Unknown,Unknown,,,,
Miscellania.,Miscellania (Tryon),Thomas Tryon,,,,1696.0,,,,Thomas Tryon (Author),,Original,,English,Unknown,Unknown,,,,
Monthly Observations.,Monthly Observations (Tryon),Thomas Tryon,,,,1688.0,,,,Thomas Tryon (Author),,Original,,English,Unknown,Unknown,,,,
Wisdoms Dictates.,Wisdoms Dictates (Tryon),Thomas Tryon,,,,1691.0,,,,Thomas Tryon (Author),,Original,,English,Unknown,Unknown,,,,
The Good House-wife Made a Doctor.,The Good House-wife Made a Doctor,Thomas Tryon,,,,1692.0,2.0,,,Thomas Tryon (Author),,Reprint,,English,Unknown,Unknown,,,,
The Way to Save Wealth or Notable Things.,The Way to Save Wealth,Thomas Tryon,,,,1697.0,2.0,,,Thomas Tryon (Author),,Reprint,,English,Unknown,Unknown,,,,
The Way to Get Wealth.,The Way to Get Wealth,Thomas Tryon,,,,1702.0,1.0,,,Thomas Tryon (Author),,Original,,English,Unknown,Unknown,,,,
"THE YOUNG COOKS MONITOR: Or Directions for Cookery and Distilling, Being a choice Compendium of Excellent Receipts, made Publick for the Use and Benefit of my Schollars. By M. H.",The Young Cooks Monitor,M. H.,,,,1683.0,1.0,,,M. H. (Author); William Downing (Printer),,Original,,English,Unknown,Unknown,,,,
"THE YOUNG COOKS MONITOR: Or Directions for Cookery and Distilling, Being a choice Compendium of Excellent Receipts, made Publick for the Use and Benefit of my Schollars. By M. H.",The Young Cooks Monitor,M. H.,,,,1690.0,2.0,,,M. H. (Author),,Reprint,,English,Unknown,Unknown,,,,
"THE ACCOMPLISHED LADIES RICH CLOSET OF RARITIES: Or, the Ingenious Gentlewoman and Servant-Maids Delightful Companion. Containing many Excellent Things for the Accomplishment of the Female Sex, after the exactest Manner and Method, ... The Second Edition, with many Additions.",The Accomplished Ladies Rich Closet of Rarities,Anonymous,,,,1687.0,2.0,,,Anonymous (Author); John Shirley (PrefaceWriter); Nicholas Boddington (Publisher); Josiah Blare (Publisher); W. W. (Printer),,Revised Edition,,English,Unknown,Unknown,,True,,
"THE GENTEEL HOUSE-KEEPERS PASTIME: Or, the Mode of Carving at the Table Represented in a Pack of Playing Cards. By which, together with the Instructions in this Book, any ordinary Capacity may easily learn how to Cut up or Carve in Mode all the most usual Dishes ... Set forth by several of the best Masters in the Faculty of Carving, and Published for publick Use.",The Genteel House-Keepers Pastime,Anonymous,,,,1693.0,1.0,,,Anonymous (Author); J. Moxon (Publisher),,Original,,English,Unknown,Duodecimo,,,,
"THE FAMILY DICTIONARY; Or, Household Companion: Wherein are Alphabetically laid down Exact Rules and Choice Physical Receipts for the Preservation of Health, Prevention of Sickness, and Curing the several Diseases, Distempers, and Grievances, incident to Men, Women, and Children. ... Also Directions for Cookery ... By J. H.",The Family Dictionary,J. H.,,,,1695.0,1.0,,,J. H. (Author); H. Rhodes (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE FAMILY DICTIONARY; Or, Household Companion: Wherein are Alphabetically laid down Exact Rules and Choice Physical Receipts for the Preservation of Health, Prevention of Sickness, and Curing the several Diseases, Distempers, and Grievances, incident to Men, Women, and Children. ... Also Directions for Cookery ... By J. H.",The Family Dictionary,J. H.,,,,1696.0,2.0,,,William Salmon (Author),,Revised Edition,,English,Unknown,Unknown,,,,
"ACETARIA. A DISCOURSE OF SALLETS, By J. E., S.R.S., Author of the Kalendarium.",Acetaria (John Evelyn),John Evelyn,,,,1699.0,1.0,,,John Evelyn (Author); B. Tooke (Publisher),,Original,,English,Unknown,Unknown,,True,,
"ACETARIA. A DISCOURSE OF SALLETS, By J. E., S.R.S., Author of the Kalendarium.",Acetaria (John Evelyn),John Evelyn,,,,1706.0,2.0,,,John Evelyn (Author),,Reprint,,English,Unknown,Unknown,,,,
"THE WHOLE DUTY OF A WOMAN: or a Guide to the Female Sex, from the Age of Sixteen to Sixty, &c. ... Also Choice Receipts in Physick, and Chirurgery. With the Whole Art of Cookery, Preserving, Candying, &c. Written by a Lady. The Third Edition.",The Whole Duty of a Woman,Anonymous,,,,1701.0,3.0,,,Anonymous (Author); J. Guillim (Publisher),,Revised Edition,,English,Unknown,Unknown,,,,
"THE COURT AND COUNTRY COOK: Giving New and Plain Directions How to Order all manner of Entertainments, And the best sort of the most exquisite a-la-mode Ragoo's. ... Faithfully translated out of French into English by J. K.",The Court and Country Cook,Massialot,,,,1702.0,1.0,,,Massialot (Author); J. K. (Translator); W. Onley (Printer); A. and J. Churchill (Publisher); M. Gillyflower (Publisher),,Translation,,English,French,Unknown,,,,
"A TREATISE OF FOODS IN GENERAL: ... Written in French, by M. Louis Lemery, ... Now done into English. Translation by D. Hay, M.D.",A Treatise of Foods in General,Louis Lemery,,,,1704.0,,,,Louis Lemery (Author); D. Hay (Translator); John Taylor (Publisher),,Translation,,English,French,Unknown,,,,
"APICII COELII DE OPSONIIS ET CONDIMENTIS, Sive Arte Coquinaria, Libri Decem. Cum Annotationibus Martini Lister, è Medicis domesticis serenissimae Majestatis Reginae Annae. Et Notis selectioribus, variisque lectionibus integris, Humelbergii, Caspari Barthii, & Variorum.",Apicii Coelii (Apicius),Apicius Coelius,,,,1705.0,1.0,,,Apicius Coelius (Author); Martin Lister (Annotator); Gulielmi Bowyer (Printer),,Reprint,,Latin,Unknown,Unknown,,,,
"APICII COELII DE OPSONIIS ET CONDIMENTIS, Sive Arte Coquinaria, Libri Decem. Cum Annotationibus Martini Lister, è Medicis domesticis serenissimae Majestatis Reginae Annae. Et Notis selectioribus, variisque lectionibus integris, Humelbergii, Caspari Barthii, & Variorum.",Apicii Coelii (Apicius),Apicius Coelius,,,,1709.0,2.0,,,Apicius Coelius (Author); Martin Lister (Annotator),,Reprint,,Latin,Unknown,Unknown,,,,
"THE PASTRY-COOKS VADE-MECUM: or a Pocket-Companion for Cooks, House-keepers, Country Gentlewomen, &c., Containing, Choice and Excellent Directions, and Receipts for making all Sorts of Pastry-Work; Dressing the most Dainty Dishes; Candying, Preserving, and Dying all manner of Fruit. As also, the Art of Distilling and Surgery.",The Pastry-Cooks Vade-Mecum,Anonymous,,,,1705.0,,,,Anonymous (Author); Abel Roper (Publisher),,Original,,English,Unknown,Unknown,,,,
"BEAUTIES TREASURY: Or, The Ladies Vade Mecum, being a Collection of the Newest, most Select and Valuable Receipts, for making all Sorts of Cosmetick-Washes, Oils, Unguents, Waters, &c. ... By J. W. ... Philo-Chym & Med.",Beauties Treasury,J. W.,,,,1705.0,,,,J. W. (Author); S. Malthus (Printer),,Original,,English,Unknown,Unknown,,,,1 s.
"THE HOUSE-KEEPERS GUIDE, In the Prudent Managing of Their Affairs, being several Observations relating to the Orderly and Discreet Government of Private Families, Grounded upon Reason, Experience, and the Word of God.",The House-Keepers Guide,Anonymous,,,,1706.0,,,,C. R. (PrefaceWriter); A. Bosvile (Publisher),,Original,,English,Unknown,Unknown,,True,,
"ENGLAND'S NEWEST WAY In all sorts of cookery, pastry, and all pickles that are fit to be used. By Henry Howard, Free-Cook of London, and late Cook to his Grace the Duke of Ormond, and since to the Earl of Salisbury, and Earl of Winchelsea. Likewise the best Receipts for making Cakes ... The Second Edition with Additions and Amendments.",England's Newest Way,Henry Howard,,,,1708.0,2.0,,,Henry Howard (Author); Chr. Coningsby (Publisher),,Revised Edition,,English,Unknown,Unknown,,True,,
THE ART OF COOKERY: A poem in imitation of Horace's art of poetry.,The Art of Cookery (poem),W. King,,,,1708.0,,,,W. King (Author),,Original,,English,Unknown,Unknown,,,,
"THE QUEEN'S ROYAL COOKERY: Or, Expert and ready Way for the Dressing of all Sorts of Flesh, Fowl, Fish: Either Bak'd, Boil'd, Roasted, Stew'd, Fry’d, Broil’d, Hash’d, Frigasied, Carbonaded, Forc’d, Collar’d, Sous’d, Dry’d, &c. After the Best and Newest Way. By T. Hall, Free-Cook of London.",The Queen's Royal Cookery,T. Hall,,,,1709.0,1.0,,,T. Hall (Author),,Original,,English,Unknown,Unknown,,,,
"THE QUEEN'S ROYAL COOKERY: Or, Expert and ready Way for the Dressing of all Sorts of Flesh, Fowl, Fish: Either Bak'd, Boil'd, Roasted, Stew'd, Fry’d, Broil’d, Hash’d, Frigasied, Carbonaded, Forc’d, Collar’d, Sous’d, Dry’d, &c. After the Best and Newest Way. By T. Hall, Free-Cook of London.",The Queen's Royal Cookery,T. Hall,,,,1713.0,2.0,,,T. Hall (Author); C. Bates (Publisher); A. Bettesworth (Publisher),,Reprint,,English,Unknown,Unknown,,True,,
